campaign_id,campaign_name,campaign_status,start_date,end_date,rl_updated_at
1846935299,RL - Search - QC - FR - Brand,ENABLED,2019-05-01,2037-12-30,2026-01-17 00:01:39.284466 UTC
1846934876,RL - Search - QC - EN - Brand,ENABLED,2019-05-01,2037-12-30,2026-01-17 00:01:39.284344 UTC
14989780057,RL - Search - QC - FR - Generic Competition,ENABLED,2021-10-18,2037-12-30,2026-01-17 00:01:39.285612 UTC
14989785082,RL - Search - QC - FR - Generic Store,ENABLED,2021-10-18,2037-12-30,2026-01-17 00:01:39.285671 UTC
18863099651,RL - Search - QC - FR - Generic Gender,ENABLED,2022-11-08,2037-12-30,2026-01-17 00:01:39.286263 UTC
18856235667,RL - Search - QC - FR - Generic Sale,ENABLED,2022-11-08,2037-12-30,2026-01-17 00:01:39.286134 UTC
20740837112,RL - PMAX - QC - EN - FW,ENABLED,2023-11-02,2037-12-30,2026-01-17 00:01:39.287129 UTC
20740837115,RL - PMAX - QC - FR - FW,ENABLED,2023-11-02,2037-12-30,2026-01-17 00:01:39.287194 UTC
21879437938,RL - Search - QC - FR - DSA,ENABLED,2024-11-04,2037-12-30,2026-01-17 00:01:39.288238 UTC
21879060460,RL - Search - QC - EN - DSA,ENABLED,2024-11-04,2037-12-30,2026-01-17 00:01:39.288175 UTC
21879060196,RL - Search - QC - EN - Generic Competition,ENABLED,2024-11-04,2037-12-30,2026-01-17 00:01:39.287971 UTC
22325430437,RL - Shopping - QC - EN - Bestsellers,ENABLED,2025-03-10,2037-12-30,2026-01-17 00:01:39.288296 UTC
22326443727,RL - Shopping - QC - EN - All Products,ENABLED,2025-03-12,2037-12-30,2026-01-17 00:01:39.288352 UTC
22534146369,RL - Shopping - QC - FR - Bestsellers,ENABLED,2025-05-10,2037-12-30,2026-01-17 00:01:39.288691 UTC
22560295898,RL - Shopping - QC - FR - All Products,ENABLED,2025-05-15,2037-12-30,2026-01-17 00:01:39.288748 UTC
23362367896,RL - Search - QC - FR - Generic Gender AI Max Test,ENABLED,2025-12-13,2025-12-26,2026-01-17 00:01:39.289179 UTC
1437657068,Promo_13_Juin,PAUSED,2018-06-14,2018-06-17,2026-01-17 00:01:39.282882 UTC
1500325093,2018 BTS,PAUSED,2018-08-09,2018-09-16,2026-01-17 00:01:39.283348 UTC
1628910208,Black Friday 2018,PAUSED,2018-11-19,2018-11-26,2026-01-17 00:01:39.283508 UTC
1839270631,Campagne Shopping,PAUSED,2019-04-29,2037-12-30,2026-01-17 00:01:39.283573 UTC
1847496924,Adidas FR,PAUSED,2019-05-01,2037-12-30,2026-01-17 00:01:39.284647 UTC
1846743481,Puma FR,PAUSED,2019-05-01,2037-12-30,2026-01-17 00:01:39.283703 UTC
1846743721,Converse EN,PAUSED,2019-05-01,2037-12-30,2026-01-17 00:01:39.283878 UTC
1846935554,Keds FR,PAUSED,2019-05-01,2037-12-30,2026-01-17 00:01:39.284586 UTC
1846743355,Nike FR,PAUSED,2019-05-01,2037-12-30,2026-01-17 00:01:39.283634 UTC
1846935302,Puma EN,PAUSED,2019-05-01,2037-12-30,2026-01-17 00:01:39.284524 UTC
1847497329,Skechers FR,PAUSED,2019-05-01,2037-12-30,2026-01-17 00:01:39.284820 UTC
1847496951,Clarks EN,PAUSED,2019-05-01,2037-12-30,2026-01-17 00:01:39.284705 UTC
1847497365,Lacoste EN,PAUSED,2019-05-01,2037-12-30,2026-01-17 00:01:39.284940 UTC
1846743814,Keds EN,PAUSED,2019-05-01,2037-12-30,2026-01-17 00:01:39.284005 UTC
1846743526,Adidas EN,PAUSED,2019-05-01,2037-12-30,2026-01-17 00:01:39.283761 UTC
1846743817,Lacoste FR,PAUSED,2019-05-01,2037-12-30,2026-01-17 00:01:39.284154 UTC
1846743793,Madden Girl FR,PAUSED,2019-05-01,2037-12-30,2026-01-17 00:01:39.283939 UTC
1846934612,Converse FR,PAUSED,2019-05-01,2037-12-30,2026-01-17 00:01:39.284284 UTC
1847497134,Skechers EN,PAUSED,2019-05-01,2037-12-30,2026-01-17 00:01:39.284762 UTC
1846934585,Nike EN,PAUSED,2019-05-01,2037-12-30,2026-01-17 00:01:39.284218 UTC
1847497626,Madden Girl EN,PAUSED,2019-05-01,2037-12-30,2026-01-17 00:01:39.284998 UTC
1846935008,Clarks FR,PAUSED,2019-05-01,2037-12-30,2026-01-17 00:01:39.284404 UTC
1846743598,Michael Kors EN,PAUSED,2019-05-01,2037-12-30,2026-01-17 00:01:39.283821 UTC
1847497341,Michael Kors FR,PAUSED,2019-05-01,2037-12-30,2026-01-17 00:01:39.284878 UTC
6522598308,Competition EN,PAUSED,2019-09-19,2037-12-30,2026-01-17 00:01:39.285134 UTC
6522526492,Competition FR,PAUSED,2019-09-19,2037-12-30,2026-01-17 00:01:39.285057 UTC
14945288086,EN - Competitor,PAUSED,2021-10-13,2037-12-30,2026-01-17 00:01:39.285493 UTC
14944573582,EN - Shoe Store,PAUSED,2021-10-13,2037-12-30,2026-01-17 00:01:39.285433 UTC
14944101303,EN - Shoe Type,PAUSED,2021-10-13,2037-12-30,2026-01-17 00:01:39.285315 UTC
14944106052,EN - Boot Brands,PAUSED,2021-10-13,2037-12-30,2026-01-17 00:01:39.285377 UTC
14949022011,EN - Shoe Brands,PAUSED,2021-10-14,2037-12-30,2026-01-17 00:01:39.285555 UTC
15313092606,FR - Black Friday,PAUSED,2021-11-19,2037-12-30,2026-01-17 00:01:39.285729 UTC
15314920281,FR - Cyber Monday,PAUSED,2021-11-19,2037-12-30,2026-01-17 00:01:39.285843 UTC
15318647218,EN - Cyber Monday,PAUSED,2021-11-19,2037-12-30,2026-01-17 00:01:39.285900 UTC
15313195881,EN - Black Friday,PAUSED,2021-11-19,2037-12-30,2026-01-17 00:01:39.285785 UTC
16723649457,EN - Performance Max,PAUSED,2022-03-31,2037-12-30,2026-01-17 00:01:39.285959 UTC
16745662742,FR - Performance Max,PAUSED,2022-04-01,2037-12-30,2026-01-17 00:01:39.286019 UTC
18847989012,EN - Sales,PAUSED,2022-11-07,2037-12-30,2026-01-17 00:01:39.286077 UTC
18856726248,FR -Type De Bottes,PAUSED,2022-11-08,2037-12-30,2026-01-17 00:01:39.286201 UTC
18878900350,Standard Shop,PAUSED,2022-11-09,2037-12-30,2026-01-17 00:01:39.286319 UTC
19241810126,EN - Dynamic Campaign,PAUSED,2022-12-13,2037-12-30,2026-01-17 00:01:39.286376 UTC
19547813988,Leads-Discovery-3,PAUSED,2023-01-11,2037-12-30,2026-01-17 00:01:39.286438 UTC
20286553840,RL - PMAX - QC - FR - Shoes,PAUSED,2023-06-15,2037-12-30,2026-01-17 00:01:39.286551 UTC
20286492220,RL - PMAX - QC - EN - Shoes,PAUSED,2023-06-15,2037-12-30,2026-01-17 00:01:39.286494 UTC
20309993904,EN - Perf Max - Pointes Claire,PAUSED,2023-06-26,2037-12-30,2026-01-17 00:01:39.286609 UTC
20310006657,FR - Perf Max - Pointes Claire,PAUSED,2023-06-26,2037-12-30,2026-01-17 00:01:39.286666 UTC
20575109188,ZZZalways-on_rubino_paid-search_google_can_fr_generic-magasin_within_men_all,PAUSED,2023-09-20,2037-12-30,2026-01-17 00:01:39.286784 UTC
20575109194,ZZZalways-on_rubino_paid-search_google_can_fr_generic-type_within_men_all,PAUSED,2023-09-20,2037-12-30,2026-01-17 00:01:39.286901 UTC
20575109197,ZZZalways-on_rubino_paid-search_google_can_en_pmax_within_men_shoes,PAUSED,2023-09-20,2037-12-30,2026-01-17 00:01:39.286957 UTC
20575109191,ZZZalways-on_rubino_paid-search_google_can_fr_generic-vente_within_men_all,PAUSED,2023-09-20,2037-12-30,2026-01-17 00:01:39.286844 UTC
20575109185,ZZZalways-on_rubino_paid-search_google_can_fr_generic-competition_within_men_all,PAUSED,2023-09-20,2037-12-30,2026-01-17 00:01:39.286723 UTC
20575109200,ZZZalways-on_rubino_paid-search_google_can_fr_pmax_within_men_shoes,PAUSED,2023-09-20,2037-12-30,2026-01-17 00:01:39.287014 UTC
20579248741,PMax: Smart Shopping,PAUSED,2023-09-21,2037-12-30,2026-01-17 00:01:39.287072 UTC
20740837127,RL - PMAX - QC - FR - Sandals,PAUSED,2023-11-02,2037-12-30,2026-01-17 00:01:39.287426 UTC
20740837118,always-on_rubino_paid-search_google_can_fr_pmax_within_all_winter-boots,PAUSED,2023-11-02,2037-12-30,2026-01-17 00:01:39.287255 UTC
20740837124,RL - PMAX - QC - EN - Sandals,PAUSED,2023-11-02,2037-12-30,2026-01-17 00:01:39.287370 UTC
20740837121,always-on_rubino_paid-search_google_can_en_pmax_within_all_winter-boots,PAUSED,2023-11-02,2037-12-30,2026-01-17 00:01:39.287311 UTC
20743230221,ZZZalways-on_rubino_paid-search_google_can_fr_pmax_within_men_boots,PAUSED,2023-11-03,2037-12-30,2026-01-17 00:01:39.287680 UTC
20743230212,ZZZalways-on_rubino_paid-search_google_can_en_pmax_within_men_boots,PAUSED,2023-11-03,2037-12-30,2026-01-17 00:01:39.287508 UTC
20743230218,ZZZalways-on_rubino_paid-search_google_can_en_pmax_within_men_winter-boots,PAUSED,2023-11-03,2037-12-30,2026-01-17 00:01:39.287623 UTC
20743230224,ZZZalways-on_rubino_paid-search_google_can_fr_pmax_within_men_sandals,PAUSED,2023-11-03,2037-12-30,2026-01-17 00:01:39.287736 UTC
20743230215,ZZZalways-on_rubino_paid-search_google_can_en_pmax_within_men_sandals,PAUSED,2023-11-03,2037-12-30,2026-01-17 00:01:39.287566 UTC
20743230227,ZZZalways-on_rubino_paid-search_google_can_fr_pmax_within_men_winter-boots,PAUSED,2023-11-03,2037-12-30,2026-01-17 00:01:39.287796 UTC
20804373491,always-on_rubino_paid-search_google_can_fr_generic-black-friday_within_all_all,PAUSED,2023-11-24,2023-11-27,2026-01-17 00:01:39.287852 UTC
20804373494,always-on_rubino_paid-search_google_can_en_generic-black-friday_within_all_all,PAUSED,2023-11-24,2023-11-27,2026-01-17 00:01:39.287908 UTC
22443017943,RL - Demand Gen - QC - EN - All Products,PAUSED,2025-04-16,2037-12-30,2026-01-17 00:01:39.288632 UTC
22443011010,RL - Demand Gen - QC - FR - All Products,PAUSED,2025-04-16,2037-12-30,2026-01-17 00:01:39.288567 UTC
22862680759,RL - Demand Gen - BTS25,PAUSED,2025-08-04,2037-12-30,2026-01-17 00:01:39.288813 UTC
23138664140,RL - PMAX - QC - EN - Pointe-Claire Specific Tier Promotion,PAUSED,2025-10-15,2025-12-03,2026-01-17 00:01:39.288876 UTC
23144154203,RL - PMAX - QC - FR - Pointe-Claire Specific Tier Promotion,PAUSED,2025-10-16,2025-12-03,2026-01-17 00:01:39.288933 UTC
23312306147,RL - PMAX - QC - FR - Slippers,PAUSED,2025-11-28,2037-12-30,2026-01-17 00:01:39.289048 UTC
23312306144,RL - PMAX - QC - EN - Slippers,PAUSED,2025-11-28,2037-12-30,2026-01-17 00:01:39.288989 UTC
1438517484,Campaign #1,REMOVED,2018-06-13,2037-12-30,2026-01-17 00:01:39.282959 UTC
1619803878,Cyber Month 2018 - BOGO 25%,REMOVED,2018-11-01,2037-12-30,2026-01-17 00:01:39.283417 UTC
6522610938,Rubino EN #2,REMOVED,2019-09-19,2037-12-30,2026-01-17 00:01:39.285200 UTC
8870787276,Smart Shopping,REMOVED,2020-01-14,2037-12-30,2026-01-17 00:01:39.285257 UTC
23358360848,RL - Search - QC - FR - Generic Gender - AI Max,REMOVED,2025-12-12,2037-12-30,2026-01-17 00:01:39.289113 UTC
