date,campaign_id,conversions,conversions_value,conversion_action_category,conversion_action_resource_name,rl_ingested_at
2023-06-26,20310006657,1.0,1.0,STORE_SALE,customers/3999681998/conversionActions/1069452949,2025-08-13 14:32:56.915410 UTC
2023-06-28,20309993904,1.0,1.0,STORE_SALE,customers/3999681998/conversionActions/1069452949,2025-08-13 14:32:56.915433 UTC
2023-06-28,20310006657,1.0,1.0,STORE_SALE,customers/3999681998/conversionActions/1069452949,2025-08-13 14:32:56.915457 UTC
2023-07-01,20310006657,1.0,1.0,STORE_SALE,customers/3999681998/conversionActions/1069452949,2025-08-13 14:32:56.915482 UTC
2023-07-02,20309993904,2.0,2.0,STORE_SALE,customers/3999681998/conversionActions/1069452949,2025-08-13 14:32:56.915505 UTC
2023-07-03,20310006657,1.0,1.0,STORE_SALE,customers/3999681998/conversionActions/1069452949,2025-08-13 14:32:56.915528 UTC
2023-07-05,20310006657,1.0,1.0,STORE_SALE,customers/3999681998/conversionActions/1069452949,2025-08-13 14:32:56.915553 UTC
2023-07-06,20309993904,1.0,1.0,STORE_SALE,customers/3999681998/conversionActions/1069452949,2025-08-13 14:32:56.915576 UTC
2023-07-07,20309993904,2.0,2.0,STORE_SALE,customers/3999681998/conversionActions/1069452949,2025-08-13 14:32:56.915599 UTC
2023-07-07,20310006657,1.0,1.0,STORE_SALE,customers/3999681998/conversionActions/1069452949,2025-08-13 14:32:56.915624 UTC
2023-07-08,20310006657,2.0,2.0,STORE_SALE,customers/3999681998/conversionActions/1069452949,2025-08-13 14:32:56.915647 UTC
2023-07-09,20309993904,3.0,3.0,STORE_SALE,customers/3999681998/conversionActions/1069452949,2025-08-13 14:32:56.915671 UTC
2023-07-10,20310006657,1.0,1.0,STORE_SALE,customers/3999681998/conversionActions/1069452949,2025-08-13 14:32:56.915699 UTC
2023-07-11,20310006657,1.0,1.0,STORE_SALE,customers/3999681998/conversionActions/1069452949,2025-08-13 14:32:56.915723 UTC
2023-07-12,20310006657,1.0,1.0,STORE_SALE,customers/3999681998/conversionActions/1069452949,2025-08-13 14:32:56.915748 UTC
2023-07-14,20310006657,1.0,1.0,STORE_SALE,customers/3999681998/conversionActions/1069452949,2025-08-13 14:32:56.915772 UTC
2023-07-16,20310006657,1.0,1.0,STORE_SALE,customers/3999681998/conversionActions/1069452949,2025-08-13 14:32:56.915797 UTC
2023-01-01,1846935299,3.510914,183.50142425,PURCHASE,customers/3999681998/conversionActions/276742030,2025-08-13 14:32:56.752979 UTC
2023-01-01,1846934876,4.845674,608.27006933,PURCHASE,customers/3999681998/conversionActions/276742030,2025-08-13 14:32:56.752951 UTC
2023-01-01,8870787276,45.571801,6297.43052148,PURCHASE,customers/3999681998/conversionActions/276742030,2025-08-13 14:32:56.753004 UTC
2023-01-02,8870787276,39.228101,5668.0470382,PURCHASE,customers/3999681998/conversionActions/276742030,2025-08-13 14:32:56.753077 UTC
2023-01-02,1846934876,10.649197,1959.55630431,PURCHASE,customers/3999681998/conversionActions/276742030,2025-08-13 14:32:56.753027 UTC
2023-01-02,1846935299,6.775951,738.07473798,PURCHASE,customers/3999681998/conversionActions/276742030,2025-08-13 14:32:56.753054 UTC
2023-01-03,8870787276,55.706171,7036.43830591,PURCHASE,customers/3999681998/conversionActions/276742030,2025-08-13 14:32:56.753149 UTC
2023-01-03,1846934876,5.453312,567.37576211,PURCHASE,customers/3999681998/conversionActions/276742030,2025-08-13 14:32:56.753100 UTC
2023-01-03,1846935299,7.113402,1221.64363152,PURCHASE,customers/3999681998/conversionActions/276742030,2025-08-13 14:32:56.753123 UTC
2023-01-04,8870787276,61.786784,7404.58428083,PURCHASE,customers/3999681998/conversionActions/276742030,2025-08-13 14:32:56.753222 UTC
2023-01-04,1846935299,8.928465,1224.67458937,PURCHASE,customers/3999681998/conversionActions/276742030,2025-08-13 14:32:56.753197 UTC
2023-01-04,1846934876,2.413002,367.35795951,PURCHASE,customers/3999681998/conversionActions/276742030,2025-08-13 14:32:56.753173 UTC
2023-01-05,19241810126,0.016401,1.73112555,PURCHASE,customers/3999681998/conversionActions/276742030,2025-08-13 14:32:56.753340 UTC
2023-01-05,1846935299,8.792811,884.42053033,PURCHASE,customers/3999681998/conversionActions/276742030,2025-08-13 14:32:56.753270 UTC
2023-01-05,14945288086,0.916295,163.23795425,PURCHASE,customers/3999681998/conversionActions/276742030,2025-08-13 14:32:56.753317 UTC
2023-01-05,8870787276,61.521133,8016.30007366,PURCHASE,customers/3999681998/conversionActions/276742030,2025-08-13 14:32:56.753294 UTC
2023-01-05,1846934876,10.122542,1221.06216962,PURCHASE,customers/3999681998/conversionActions/276742030,2025-08-13 14:32:56.753246 UTC
2023-01-06,18856235667,1.0,68.98,PURCHASE,customers/3999681998/conversionActions/276742030,2025-08-13 14:32:56.753433 UTC
2023-01-06,8870787276,52.882074,6022.47102356,PURCHASE,customers/3999681998/conversionActions/276742030,2025-08-13 14:32:56.753410 UTC
2023-01-06,1846935299,7.55548,1287.77532857,PURCHASE,customers/3999681998/conversionActions/276742030,2025-08-13 14:32:56.753387 UTC
2023-01-06,1846934876,7.447634,991.71931993,PURCHASE,customers/3999681998/conversionActions/276742030,2025-08-13 14:32:56.753363 UTC
2023-01-07,18856235667,2.0,229.95,PURCHASE,customers/3999681998/conversionActions/276742030,2025-08-13 14:32:56.753556 UTC
2023-01-07,8870787276,35.883292,3734.07879942,PURCHASE,customers/3999681998/conversionActions/276742030,2025-08-13 14:32:56.753508 UTC
2023-01-07,1846934876,5.627297,386.86775238,PURCHASE,customers/3999681998/conversionActions/276742030,2025-08-13 14:32:56.753462 UTC
2023-01-07,1846935299,12.295074,1328.63318444,PURCHASE,customers/3999681998/conversionActions/276742030,2025-08-13 14:32:56.753484 UTC
2023-01-07,14989780057,1.0,557.52,PURCHASE,customers/3999681998/conversionActions/276742030,2025-08-13 14:32:56.753532 UTC
2023-01-08,18856235667,1.0,143.66,PURCHASE,customers/3999681998/conversionActions/276742030,2025-08-13 14:32:56.753648 UTC
2023-01-08,1846935299,14.366476,1602.25628623,PURCHASE,customers/3999681998/conversionActions/276742030,2025-08-13 14:32:56.753603 UTC
2023-01-08,1846934876,3.154199,340.42922814,PURCHASE,customers/3999681998/conversionActions/276742030,2025-08-13 14:32:56.753580 UTC
2023-01-08,8870787276,52.087851,6102.22486392,PURCHASE,customers/3999681998/conversionActions/276742030,2025-08-13 14:32:56.753626 UTC
2023-01-09,1846935299,10.5,1097.35,PURCHASE,customers/3999681998/conversionActions/276742030,2025-08-13 14:32:56.753695 UTC
2023-01-09,1846934876,10.987745,1532.39805208,PURCHASE,customers/3999681998/conversionActions/276742030,2025-08-13 14:32:56.753671 UTC
2023-01-09,8870787276,54.042451,6389.14101518,PURCHASE,customers/3999681998/conversionActions/276742030,2025-08-13 14:32:56.753717 UTC
2023-01-10,1846934876,10.206307,1785.32095677,PURCHASE,customers/3999681998/conversionActions/276742030,2025-08-13 14:32:56.753740 UTC
2023-01-10,18863099651,1.0,91.97,PURCHASE,customers/3999681998/conversionActions/276742030,2025-08-13 14:32:56.753814 UTC
2023-01-10,1846935299,9.494596,1231.42889055,PURCHASE,customers/3999681998/conversionActions/276742030,2025-08-13 14:32:56.753767 UTC
2023-01-10,8870787276,54.92402,6192.89814923,PURCHASE,customers/3999681998/conversionActions/276742030,2025-08-13 14:32:56.753790 UTC
2023-01-11,1846935299,13.034983,1584.01570832,PURCHASE,customers/3999681998/conversionActions/276742030,2025-08-13 14:32:56.753863 UTC
2023-01-11,8870787276,43.005815,4803.42734422,PURCHASE,customers/3999681998/conversionActions/276742030,2025-08-13 14:32:56.753886 UTC
2023-01-11,1846934876,11.199616,1358.23888624,PURCHASE,customers/3999681998/conversionActions/276742030,2025-08-13 14:32:56.753840 UTC
2023-01-12,14944101303,1.0,172.41,PURCHASE,customers/3999681998/conversionActions/276742030,2025-08-13 14:32:56.753979 UTC
2023-01-12,18856235667,0.0,0.12089115,PURCHASE,customers/3999681998/conversionActions/276742030,2025-08-13 14:32:56.754000 UTC
2023-01-12,8870787276,52.427911,6490.13192754,PURCHASE,customers/3999681998/conversionActions/276742030,2025-08-13 14:32:56.753956 UTC
2023-01-12,1846934876,5.709412,624.21873444,PURCHASE,customers/3999681998/conversionActions/276742030,2025-08-13 14:32:56.753910 UTC
2023-01-12,1846935299,3.339609,334.356562,PURCHASE,customers/3999681998/conversionActions/276742030,2025-08-13 14:32:56.753933 UTC
2023-01-13,18856235667,0.017462,4.21515218,PURCHASE,customers/3999681998/conversionActions/276742030,2025-08-13 14:32:56.754121 UTC
2023-01-13,8870787276,42.861111,4267.87335402,PURCHASE,customers/3999681998/conversionActions/276742030,2025-08-13 14:32:56.754072 UTC
2023-01-13,1846934876,6.228924,717.90095911,PURCHASE,customers/3999681998/conversionActions/276742030,2025-08-13 14:32:56.754024 UTC
2023-01-13,1846935299,5.009944,427.29362345,PURCHASE,customers/3999681998/conversionActions/276742030,2025-08-13 14:32:56.754048 UTC
2023-01-13,14944101303,1.0,155.16,PURCHASE,customers/3999681998/conversionActions/276742030,2025-08-13 14:32:56.754097 UTC
2023-01-14,1846935299,3.447572,590.47373067,PURCHASE,customers/3999681998/conversionActions/276742030,2025-08-13 14:32:56.754169 UTC
2023-01-14,8870787276,41.718809,4701.57844591,PURCHASE,customers/3999681998/conversionActions/276742030,2025-08-13 14:32:56.754196 UTC
2023-01-14,1846934876,6.128709,581.3560378,PURCHASE,customers/3999681998/conversionActions/276742030,2025-08-13 14:32:56.754145 UTC
2023-01-15,14989780057,0.033651,2.56010312,PURCHASE,customers/3999681998/conversionActions/276742030,2025-08-13 14:32:56.754287 UTC
2023-01-15,1846934876,12.279001,1572.94527982,PURCHASE,customers/3999681998/conversionActions/276742030,2025-08-13 14:32:56.754220 UTC
2023-01-15,8870787276,54.666427,5553.41321102,PURCHASE,customers/3999681998/conversionActions/276742030,2025-08-13 14:32:56.754265 UTC
2023-01-15,1846935299,9.237683,593.15874468,PURCHASE,customers/3999681998/conversionActions/276742030,2025-08-13 14:32:56.754243 UTC
2023-01-16,14944101303,0.0,0.16844457,PURCHASE,customers/3999681998/conversionActions/276742030,2025-08-13 14:32:56.754378 UTC
2023-01-16,1846935299,7.704163,814.40497328,PURCHASE,customers/3999681998/conversionActions/276742030,2025-08-13 14:32:56.754335 UTC
2023-01-16,1846934876,5.588205,837.37170819,PURCHASE,customers/3999681998/conversionActions/276742030,2025-08-13 14:32:56.754313 UTC
2023-01-16,8870787276,54.843245,5911.1578465,PURCHASE,customers/3999681998/conversionActions/276742030,2025-08-13 14:32:56.754358 UTC
2023-01-17,1846935299,6.838467,822.80769389,PURCHASE,customers/3999681998/conversionActions/276742030,2025-08-13 14:32:56.754426 UTC
2023-01-17,8870787276,52.973937,6757.20404277,PURCHASE,customers/3999681998/conversionActions/276742030,2025-08-13 14:32:56.754449 UTC
2023-01-17,1846934876,4.383559,496.38298615,PURCHASE,customers/3999681998/conversionActions/276742030,2025-08-13 14:32:56.754402 UTC
2023-01-17,18863099651,0.528357,60.1743727,PURCHASE,customers/3999681998/conversionActions/276742030,2025-08-13 14:32:56.754471 UTC
2023-01-18,1846935299,9.577758,1236.29384413,PURCHASE,customers/3999681998/conversionActions/276742030,2025-08-13 14:32:56.754518 UTC
2023-01-18,18847989012,0.015715,2.52870065,PURCHASE,customers/3999681998/conversionActions/276742030,2025-08-13 14:32:56.754566 UTC
2023-01-18,18863099651,0.471155,70.4188263,PURCHASE,customers/3999681998/conversionActions/276742030,2025-08-13 14:32:56.754590 UTC
2023-01-18,1846934876,7.165436,596.21641278,PURCHASE,customers/3999681998/conversionActions/276742030,2025-08-13 14:32:56.754494 UTC
2023-01-18,8870787276,61.909138,6420.54872754,PURCHASE,customers/3999681998/conversionActions/276742030,2025-08-13 14:32:56.754542 UTC
2023-01-19,14989780057,0.36561,62.2121976,PURCHASE,customers/3999681998/conversionActions/276742030,2025-08-13 14:32:56.754685 UTC
2023-01-19,8870787276,53.665358,6928.35540662,PURCHASE,customers/3999681998/conversionActions/276742030,2025-08-13 14:32:56.754661 UTC
2023-01-19,1846935299,15.320856,1613.05304728,PURCHASE,customers/3999681998/conversionActions/276742030,2025-08-13 14:32:56.754637 UTC
2023-01-19,1846934876,12.067342,1232.25748474,PURCHASE,customers/3999681998/conversionActions/276742030,2025-08-13 14:32:56.754613 UTC
2023-01-20,1846934876,6.601253,982.46355096,PURCHASE,customers/3999681998/conversionActions/276742030,2025-08-13 14:32:56.754708 UTC
2023-01-20,8870787276,46.332611,5204.70777888,PURCHASE,customers/3999681998/conversionActions/276742030,2025-08-13 14:32:56.754755 UTC
2023-01-20,1846935299,12.884147,1873.64133341,PURCHASE,customers/3999681998/conversionActions/276742030,2025-08-13 14:32:56.754732 UTC
2023-01-21,1846935299,6.054906,798.61114629,PURCHASE,customers/3999681998/conversionActions/276742030,2025-08-13 14:32:56.754801 UTC
2023-01-21,14944573582,0.0138,1.824636,PURCHASE,customers/3999681998/conversionActions/276742030,2025-08-13 14:32:56.754849 UTC
2023-01-21,8870787276,50.621568,6859.51830558,PURCHASE,customers/3999681998/conversionActions/276742030,2025-08-13 14:32:56.754826 UTC
2023-01-21,18856235667,0.0,0.03465938,PURCHASE,customers/3999681998/conversionActions/276742030,2025-08-13 14:32:56.754920 UTC
2023-01-21,14989785082,1.0,172.41,PURCHASE,customers/3999681998/conversionActions/276742030,2025-08-13 14:32:56.754873 UTC
2023-01-21,1846934876,5.783058,634.57574696,PURCHASE,customers/3999681998/conversionActions/276742030,2025-08-13 14:32:56.754778 UTC
2023-01-22,8870787276,56.39679,6674.44012292,PURCHASE,customers/3999681998/conversionActions/276742030,2025-08-13 14:32:56.754991 UTC
2023-01-22,18863099651,1.0,45.99,PURCHASE,customers/3999681998/conversionActions/276742030,2025-08-13 14:32:56.755041 UTC
2023-01-22,14989785082,0.454113,31.32925587,PURCHASE,customers/3999681998/conversionActions/276742030,2025-08-13 14:32:56.755018 UTC
2023-01-22,1846934876,4.574897,253.72223087,PURCHASE,customers/3999681998/conversionActions/276742030,2025-08-13 14:32:56.754945 UTC
2023-01-22,1846935299,8.438951,740.28919002,PURCHASE,customers/3999681998/conversionActions/276742030,2025-08-13 14:32:56.754967 UTC
2023-01-23,8870787276,45.248602,4681.05291416,PURCHASE,customers/3999681998/conversionActions/276742030,2025-08-13 14:32:56.755117 UTC
2023-01-23,18863099651,1.0,91.98,PURCHASE,customers/3999681998/conversionActions/276742030,2025-08-13 14:32:56.755142 UTC
2023-01-23,1846934876,6.04449,608.48527497,PURCHASE,customers/3999681998/conversionActions/276742030,2025-08-13 14:32:56.755065 UTC
2023-01-23,1846935299,12.860414,1163.06795031,PURCHASE,customers/3999681998/conversionActions/276742030,2025-08-13 14:32:56.755093 UTC
2023-01-24,18863099651,0.364913,14.68409912,PURCHASE,customers/3999681998/conversionActions/276742030,2025-08-13 14:32:56.755317 UTC
2023-01-24,14944101303,2.0,87.38,PURCHASE,customers/3999681998/conversionActions/276742030,2025-08-13 14:32:56.755243 UTC
2023-01-24,14945288086,1.0,126.36,PURCHASE,customers/3999681998/conversionActions/276742030,2025-08-13 14:32:56.755268 UTC
2023-01-24,1846934876,7.010237,1118.03376777,PURCHASE,customers/3999681998/conversionActions/276742030,2025-08-13 14:32:56.755168 UTC
2023-01-24,1846935299,8.286718,913.6315349,PURCHASE,customers/3999681998/conversionActions/276742030,2025-08-13 14:32:56.755192 UTC
2023-01-24,14989780057,0.013355,1.04342615,PURCHASE,customers/3999681998/conversionActions/276742030,2025-08-13 14:32:56.755292 UTC
2023-01-24,8870787276,58.878279,5829.3195095,PURCHASE,customers/3999681998/conversionActions/276742030,2025-08-13 14:32:56.755219 UTC
2023-01-25,14944573582,0.455857,21.48308232,PURCHASE,customers/3999681998/conversionActions/276742030,2025-08-13 14:32:56.755411 UTC
2023-01-25,14989785082,1.0,103.42,PURCHASE,customers/3999681998/conversionActions/276742030,2025-08-13 14:32:56.755434 UTC
2023-01-25,1846935299,9.746794,1074.04405111,PURCHASE,customers/3999681998/conversionActions/276742030,2025-08-13 14:32:56.755363 UTC
2023-01-25,8870787276,51.894253,5347.03595738,PURCHASE,customers/3999681998/conversionActions/276742030,2025-08-13 14:32:56.755386 UTC
2023-01-25,1846934876,4.785744,1035.71442248,PURCHASE,customers/3999681998/conversionActions/276742030,2025-08-13 14:32:56.755340 UTC
2023-01-25,18856235667,1.0,74.73,PURCHASE,customers/3999681998/conversionActions/276742030,2025-08-13 14:32:56.755456 UTC
2023-01-26,1846935299,9.01525,1349.59493144,PURCHASE,customers/3999681998/conversionActions/276742030,2025-08-13 14:32:56.755506 UTC
2023-01-26,1846934876,6.873661,1089.0025136,PURCHASE,customers/3999681998/conversionActions/276742030,2025-08-13 14:32:56.755481 UTC
2023-01-26,8870787276,37.841609,4117.00287483,PURCHASE,customers/3999681998/conversionActions/276742030,2025-08-13 14:32:56.755530 UTC
2023-01-27,1846935299,5.043506,739.58444094,PURCHASE,customers/3999681998/conversionActions/276742030,2025-08-13 14:32:56.755580 UTC
2023-01-27,1846934876,2.008227,224.63243128,PURCHASE,customers/3999681998/conversionActions/276742030,2025-08-13 14:32:56.755552 UTC
2023-01-27,18847989012,0.0,0.03370125,PURCHASE,customers/3999681998/conversionActions/276742030,2025-08-13 14:32:56.755625 UTC
2023-01-27,8870787276,26.898537,3433.69545631,PURCHASE,customers/3999681998/conversionActions/276742030,2025-08-13 14:32:56.755603 UTC
2023-01-28,1846935299,10.007036,1098.58747246,PURCHASE,customers/3999681998/conversionActions/276742030,2025-08-13 14:32:56.755672 UTC
2023-01-28,8870787276,29.796509,3589.50060458,PURCHASE,customers/3999681998/conversionActions/276742030,2025-08-13 14:32:56.755695 UTC
