date,campaign_id,customer_id,cost_micros,average_order_value_micros,impressions,clicks,average_cpc,ctr,engagements,all_conversions_from_interactions_rate,rl_ingested_at,interactions
2025-04-20,1846934876,,1710811,0,37,11,155528.27272727274,0.29729729729729731,0,0.19014899999999998,2025-08-13 14:32:56.378128 UTC,11
2025-04-22,1846934876,,1169265,0,29,11,106296.81818181818,0.37931034482758619,0,0.33311363636363639,2025-08-13 14:32:56.378201 UTC,11
2025-04-19,1846934876,,710000,0,59,12,59166.666666666664,0.20338983050847459,0,0.42328416666666668,2025-08-13 14:32:56.378093 UTC,12
2025-04-11,1846934876,,1020000,0,39,12,85000.0,0.30769230769230771,0,1.9791666666666667,2025-08-13 14:32:56.377799 UTC,12
2025-04-17,1846934876,,3340811,0,60,14,238629.35714285713,0.23333333333333334,0,1.6649547857142859,2025-08-13 14:32:56.378022 UTC,14
2025-04-16,1846934876,,15725710,0,59,14,1123265.0,0.23728813559322035,0,2.4245417857142857,2025-08-13 14:32:56.377987 UTC,14
2025-04-18,1846934876,,445582,0,71,14,31827.285714285714,0.19718309859154928,0,1.031625,2025-08-13 14:32:56.378057 UTC,14
2025-05-01,1846934876,,10401736,0,54,18,577874.22222222225,0.33333333333333331,0,1.3244925,2025-08-13 14:32:56.378532 UTC,18
2025-04-10,1846934876,,1477088,0,51,18,82060.444444444438,0.35294117647058826,0,1.1121960555555555,2025-08-13 14:32:56.377764 UTC,18
2025-04-26,1846934876,,3398426,0,87,20,169921.3,0.22988505747126436,0,0.80250865,2025-08-13 14:32:56.378354 UTC,20
2025-04-15,1846934876,,5243856,0,99,20,262192.8,0.20202020202020202,0,0.37542,2025-08-13 14:32:56.377952 UTC,20
2025-05-03,1846934876,,940000,0,94,20,47000.0,0.21276595744680851,0,0.75833339999999994,2025-08-13 14:32:56.378604 UTC,20
2025-04-08,1846934876,,1620682,0,45,21,77175.333333333328,0.46666666666666667,0,0.48699261904761909,2025-08-13 14:32:56.377692 UTC,21
2025-04-14,1846934876,,1900000,0,53,21,90476.190476190473,0.39622641509433965,0,1.1382885714285715,2025-08-13 14:32:56.377916 UTC,21
2025-04-09,1846934876,,7506571,0,64,21,357455.76190476189,0.328125,0,0.91542723809523807,2025-08-13 14:32:56.377728 UTC,21
2025-05-02,1846934876,,1027499,0,90,22,46704.5,0.24444444444444444,0,1.5643570454545455,2025-08-13 14:32:56.378567 UTC,22
2025-05-05,1846934876,,7832804,0,118,22,356036.54545454547,0.1864406779661017,0,0.77628404545454543,2025-08-13 14:32:56.378674 UTC,22
2025-04-25,1846934876,,1784661,0,92,23,77593.956521739135,0.25,0,1.5720708695652172,2025-08-13 14:32:56.378317 UTC,23
2025-04-30,1846934876,,2652099,0,94,23,115308.65217391304,0.24468085106382978,0,1.2384687391304348,2025-08-13 14:32:56.378497 UTC,23
2025-04-23,1846934876,,4393904,0,67,23,191039.30434782608,0.34328358208955223,0,1.076739956521739,2025-08-13 14:32:56.378242 UTC,23
2025-04-29,1846934876,,5209630,0,92,25,208385.2,0.27173913043478259,0,0.96478844,2025-08-13 14:32:56.378462 UTC,25
2025-04-13,1846934876,,3401119,0,103,27,125967.37037037036,0.26213592233009708,0,1.1073424074074074,2025-08-13 14:32:56.377875 UTC,27
2025-04-27,1846934876,,7410538,0,102,27,274464.37037037039,0.26470588235294118,0,0.54874003703703711,2025-08-13 14:32:56.378391 UTC,27
2025-05-06,1846934876,,1892014,0,109,28,67571.928571428565,0.25688073394495414,0,0.6428571428571429,2025-08-13 14:32:56.378710 UTC,28
2025-04-28,1846934876,,2673810,0,113,29,92200.3448275862,0.25663716814159293,0,1.0391929655172414,2025-08-13 14:32:56.378427 UTC,29
2025-04-24,1846934876,,10720000,0,93,29,369655.1724137931,0.31182795698924731,0,1.2014063448275862,2025-08-13 14:32:56.378277 UTC,29
2025-05-07,1846934876,,2868949,0,161,32,89654.65625,0.19875776397515527,0,0.66209703125,2025-08-13 14:32:56.378744 UTC,32
2025-05-12,1846934876,,18818180,0,151,33,570247.87878787878,0.2185430463576159,0,1.8293011212121213,2025-08-13 14:32:56.378937 UTC,33
2025-05-21,1846934876,,9868416,0,116,33,299042.90909090912,0.28448275862068967,0,0.55555381818181826,2025-08-20 05:01:40.376845 UTC,33
2025-05-08,1846934876,,2449551,0,203,36,68043.083333333328,0.17733990147783252,0,0.44444444444444442,2025-08-13 14:32:56.378786 UTC,36
2025-05-23,1846934876,,4738427,0,153,37,128065.5945945946,0.24183006535947713,0,1.1432882432432432,2025-08-22 05:01:32.037966 UTC,37
2025-05-04,1846934876,,2847922,0,181,38,74945.31578947368,0.20994475138121546,0,1.2774255,2025-08-13 14:32:56.378639 UTC,38
2025-05-13,1846934876,,14709133,0,134,39,377157.25641025644,0.291044776119403,0,0.56387133333333328,2025-08-13 14:32:56.378972 UTC,39
2025-05-14,1846934876,,11501290,0,157,44,261392.95454545456,0.28025477707006369,0,0.79897006818181815,2025-08-13 14:32:56.379006 UTC,44
2025-04-21,1846934876,,3497455,0,133,45,77721.222222222219,0.33834586466165412,0,0.44019313333333332,2025-08-13 14:32:56.378164 UTC,45
2025-05-22,1846934876,,10525286,0,179,45,233895.24444444446,0.25139664804469275,0,0.53202757777777776,2025-08-21 05:01:20.909969 UTC,45
2025-05-15,1846934876,,16080549,0,155,46,349577.152173913,0.29677419354838708,0,1.063337152173913,2025-08-14 05:02:18.866823 UTC,46
2025-05-20,1846934876,,13240013,0,160,46,287826.36956521741,0.2875,0,0.61578121739130431,2025-08-19 05:03:15.439344 UTC,46
2025-06-13,1846934876,,17672204,0,189,48,368170.91666666669,0.25396825396825395,0,0.9999669375,2025-09-12 05:01:15.479492 UTC,48
2025-04-12,1846934876,,11958664,0,119,50,239173.28,0.42016806722689076,0,1.4350368800000002,2025-08-13 14:32:56.377838 UTC,50
2025-05-11,1846934876,,5326413,0,211,50,106528.26,0.23696682464454977,0,1.3184815399999998,2025-08-13 14:32:56.378896 UTC,50
2025-06-10,1846934876,,23531032,0,225,50,470620.64,0.22222222222222221,0,1.24457174,2025-09-09 05:01:22.740766 UTC,50
2025-05-26,1846934876,,13026627,0,209,53,245785.41509433961,0.25358851674641147,0,0.7305376415094339,2025-08-25 05:01:46.489965 UTC,53
2025-05-29,1846934876,,13512990,0,196,55,245690.72727272726,0.28061224489795916,0,0.567,2025-08-28 05:01:43.663915 UTC,55
2025-10-06,1846934876,,4531093,0,149,55,82383.5090909091,0.36912751677852351,0,0.680354690909091,2026-01-04 23:01:42.525103 UTC,55
2025-06-09,1846934876,,14843196,0,237,57,260406.94736842104,0.24050632911392406,0,0.43460828070175439,2025-09-08 05:01:19.963582 UTC,57
2025-07-31,1846934876,,21656846,0,214,58,373393.89655172412,0.27102803738317754,0,1.1762876896551726,2025-10-30 05:01:14.106724 UTC,58
2025-06-03,1846934876,,16867156,0,228,59,285884.0,0.25877192982456143,0,0.76064823728813558,2025-09-02 05:01:19.291048 UTC,59
2025-06-02,1846934876,,23847748,0,232,59,404199.11864406778,0.25431034482758619,0,0.49905552542372877,2025-09-01 05:01:49.873331 UTC,59
2025-05-09,1846934876,,9148811,0,237,60,152480.18333333332,0.25316455696202533,0,0.56702825,2025-08-13 14:32:56.378823 UTC,60
2025-07-04,1846934876,,25783247,0,192,61,422676.18032786885,0.31770833333333331,0,0.80890467213114747,2025-10-03 05:02:12.963607 UTC,61
2025-06-17,1846934876,,11310210,0,219,67,168809.10447761195,0.30593607305936071,0,0.77078673134328357,2025-09-16 05:01:21.136489 UTC,67
2025-05-25,1846934876,,26529731,0,264,68,390143.10294117645,0.25757575757575757,0,0.59835427941176467,2025-08-24 05:01:21.008451 UTC,68
2025-01-17,1846934876,,7374097,0,116,68,108442.60294117648,0.58620689655172409,0,0.84152683823529406,2025-08-13 14:32:56.374595 UTC,68
2025-05-27,1846934876,,30072437,0,227,69,435832.4202898551,0.30396475770925108,0,0.875498695652174,2025-08-26 05:01:40.728242 UTC,69
2025-06-12,1846934876,,30782719,0,253,69,446126.36231884058,0.27272727272727271,0,1.7977278695652175,2025-09-11 05:01:33.169551 UTC,69
2025-02-10,1846934876,,5960216,0,164,71,83946.7042253521,0.43292682926829268,0,0.93651292957746479,2025-08-13 14:32:56.375540 UTC,71
